,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,anom_fraction,dataset
534,0.919686825630806,0.9811794076086957,0.8714428357463804,0.8701395812562313,0.87275,7.744559288024902,Completed,PW-AE,50000,minmax,none,,0.1,0.08,creditcard
535,0.8720988157825209,0.9726989619565218,0.83805298186089,0.8766038766038766,0.80275,7.260117292404175,Completed,DAE,50000,minmax,none,,0.02,0.08,creditcard
536,0.7945298559367651,0.9513023614130435,0.7245539080170897,0.7283981808994442,0.72075,4.901954174041748,Completed,HST,50000,minmax,none,,,0.08,creditcard
537,0.9235752442683169,0.9817435434782608,0.8744675519919819,0.8764439979909593,0.8725,7.758557081222534,Completed,PW-AE,50000,minmax,none,,0.1,0.08,creditcard
538,0.8777821469602947,0.9741738315217391,0.8417136993329913,0.8643308746048473,0.82025,7.369940996170044,Completed,DAE,50000,minmax,none,,0.02,0.08,creditcard
539,0.8628702659903593,0.9639899701086956,0.7973044397463002,0.8455717488789237,0.75425,4.872779130935669,Completed,HST,50000,minmax,none,,,0.08,creditcard
540,0.9212458408463716,0.9781864866602378,0.8744804655029094,0.8827619275953009,0.8663529411764705,7.703741788864136,Completed,PW-AE,50000,minmax,none,,0.1,0.085,creditcard
541,0.8761714770284208,0.9699832336869176,0.8412580485388805,0.8878724516466283,0.7992941176470588,7.447239875793457,Completed,DAE,50000,minmax,none,,0.02,0.085,creditcard
542,0.9097387903119596,0.9704080617164899,0.8471196454948302,0.8882292204439856,0.8096470588235294,73.75841569900513,Completed,HST,50000,minmax,none,,,0.085,creditcard
543,0.9182680296219244,0.9787747888138861,0.8745578872907334,0.8764177693761814,0.8727058823529412,7.870702505111694,Completed,PW-AE,50000,minmax,none,,0.1,0.085,creditcard
544,0.8801714910513645,0.9677833288331728,0.8467400508044031,0.8712969878018422,0.8235294117647058,7.308675050735474,Completed,DAE,50000,minmax,none,,0.02,0.085,creditcard
545,0.8388877062915366,0.9597670048216008,0.7575164151595438,0.7420446851726472,0.7736470588235295,4.921680212020874,Completed,HST,50000,minmax,none,,,0.085,creditcard
546,0.9189263866188755,0.9787729990356798,0.8720558645993609,0.8773517504167659,0.8668235294117647,8.069783449172974,Completed,PW-AE,50000,minmax,none,,0.1,0.085,creditcard
547,0.8625862998506271,0.9671410864673738,0.8406006006006006,0.8586503067484662,0.8232941176470588,7.463591814041138,Completed,DAE,50000,minmax,none,,0.02,0.085,creditcard
548,0.8946251322775338,0.9659565515911284,0.835851737052822,0.92642427712568,0.7614117647058823,4.975404739379883,Completed,HST,50000,minmax,none,,,0.085,creditcard
549,0.9150985649821636,0.9779845143040825,0.868641031764987,0.8819107662463628,0.855764705882353,7.850436210632324,Completed,PW-AE,50000,minmax,none,,0.1,0.085,creditcard
550,0.8738655324052311,0.9686797865638058,0.8403340702530092,0.8789825282631039,0.8049411764705883,7.245657444000244,Completed,DAE,50000,minmax,none,,0.02,0.085,creditcard
551,0.887661126580173,0.9695723870138219,0.8170498084291188,0.8317893710385178,0.8028235294117647,4.8992345333099365,Completed,HST,50000,minmax,none,,,0.085,creditcard
552,0.9205552342818959,0.9782361272902603,0.8744764867775519,0.8897005113221329,0.859764705882353,7.812094449996948,Completed,PW-AE,50000,minmax,none,,0.1,0.085,creditcard
553,0.8915888583844778,0.9716602404371586,0.8527332704995287,0.8539405379896178,0.8515294117647059,7.277770519256592,Completed,DAE,50000,minmax,none,,0.02,0.085,creditcard
554,0.8641788455538688,0.976248043715847,0.8244274809160305,0.8107370336669699,0.8385882352941176,4.888239622116089,Completed,HST,50000,minmax,none,,,0.085,creditcard
555,0.9178094831351342,0.9772894896214895,0.8709268854346575,0.9037037037037037,0.8404444444444444,7.835631608963013,Completed,PW-AE,50000,minmax,none,,0.1,0.09000000000000001,creditcard
556,0.8773952349639765,0.9685968644688645,0.8403282532239156,0.8893300248138958,0.7964444444444444,7.256126880645752,Completed,DAE,50000,minmax,none,,0.02,0.09000000000000001,creditcard
557,0.8772377990897825,0.9671189792429793,0.8271028037383178,0.8719211822660099,0.7866666666666666,4.919391632080078,Completed,HST,50000,minmax,none,,,0.09000000000000001,creditcard
558,0.9172832177333033,0.9756282979242978,0.8751974723538706,0.8890417239798257,0.8617777777777778,7.775524854660034,Completed,PW-AE,50000,minmax,none,,0.1,0.09000000000000001,creditcard
559,0.8758646615486672,0.968346148962149,0.8377540475370306,0.8667141838916608,0.8106666666666666,7.368812322616577,Completed,DAE,50000,minmax,none,,0.02,0.09000000000000001,creditcard
560,0.8215278384279207,0.9513006300366301,0.7419499105545617,0.7466246624662466,0.7373333333333333,4.9796998500823975,Completed,HST,50000,minmax,none,,,0.09000000000000001,creditcard
