,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,optimizer_fn,dataset
349,0.7173716623944147,0.9905342547905645,0.7049891540130151,0.8552631578947368,0.5996309963099631,19.828384160995483,Completed,PW-AE,50000,minmax,none,43,0.008000000000000004,sgd,covertype
350,0.7249948083463159,0.9891424144740053,0.6630532971996387,0.6495575221238938,0.6771217712177122,19.718263626098633,Completed,PW-AE,50000,minmax,none,42,0.016,sgd,covertype
351,0.7680864927818444,0.9925846732081296,0.7444219066937119,0.8265765765765766,0.6771217712177122,19.726780652999878,Completed,PW-AE,50000,minmax,none,43,0.016,sgd,covertype
352,0.7313561534748245,0.9906794821921286,0.6878306878306878,0.8064516129032258,0.5996309963099631,19.62969470024109,Completed,PW-AE,50000,minmax,none,42,0.03200000000000001,sgd,covertype
353,0.8372284508144255,0.9971778954717849,0.7663934426229508,0.8617511520737328,0.6900369003690037,19.51983094215393,Completed,PW-AE,50000,minmax,none,43,0.03200000000000001,sgd,covertype
354,0.6735024890828971,0.9901748608047768,0.6285714285714286,0.7369727047146402,0.5479704797047971,19.561920642852783,Completed,PW-AE,50000,minmax,none,42,0.06399999999999999,sgd,covertype
355,0.8440479984680204,0.9978933633203856,0.7685352622061484,0.7535460992907801,0.7841328413284133,19.615309238433838,Completed,PW-AE,50000,minmax,none,43,0.06399999999999999,sgd,covertype
356,0.767596820139471,0.9955249218875788,0.7044025157232704,0.6865148861646234,0.7232472324723247,19.65168046951294,Completed,PW-AE,50000,minmax,none,42,0.128,sgd,covertype
357,0.7866020159804307,0.9966944631838651,0.7142857142857142,0.6765676567656765,0.7564575645756457,19.686105012893677,Completed,PW-AE,50000,minmax,none,43,0.128,sgd,covertype
358,0.7760212308865043,0.996044689004454,0.7386262265834076,0.7150259067357513,0.7638376383763837,20.43925166130066,Completed,PW-AE,50000,minmax,none,42,0.256,sgd,covertype
359,0.731863356486468,0.995377306981853,0.6879432624113475,0.6621160409556314,0.7158671586715867,20.6955463886261,Completed,PW-AE,50000,minmax,none,43,0.256,sgd,covertype
360,0.6005018662416653,0.9850587751297869,0.5907473309608541,0.8272425249169435,0.45940959409594095,18.401252508163452,Completed,DAE,50000,minmax,none,42,0.001,sgd,covertype
361,0.5792182340597559,0.9798901270584949,0.565483476132191,0.84,0.4261992619926199,18.595882654190063,Completed,DAE,50000,minmax,none,43,0.001,sgd,covertype
362,0.6746615863285814,0.9883779654853445,0.6395348837209303,0.8647798742138365,0.507380073800738,19.642852544784546,Completed,DAE,50000,minmax,none,42,0.0020000000000000005,sgd,covertype
363,0.6663619988038576,0.9873161976190914,0.6507394766780432,0.8486646884272997,0.5276752767527675,19.864523887634277,Completed,DAE,50000,minmax,none,43,0.0020000000000000005,sgd,covertype
364,0.7639440299963179,0.992312908086014,0.7181069958847737,0.8116279069767441,0.6439114391143912,19.68921208381653,Completed,DAE,50000,minmax,none,42,0.004000000000000001,sgd,covertype
365,0.7526116430060164,0.9929645848078038,0.7147540983606558,0.8766756032171582,0.6033210332103321,20.1637966632843,Completed,DAE,50000,minmax,none,43,0.004000000000000001,sgd,covertype
366,0.8345683472243073,0.9950443247608504,0.7830188679245284,0.8011583011583011,0.7656826568265682,19.904955863952637,Completed,DAE,50000,minmax,none,42,0.008000000000000004,sgd,covertype
367,0.837581726528687,0.9969269837063286,0.7752808988764044,0.7870722433460076,0.7638376383763837,19.83383059501648,Completed,DAE,50000,minmax,none,43,0.008000000000000004,sgd,covertype
368,0.8701946171800163,0.9972955919659888,0.8151571164510165,0.8166666666666667,0.8136531365313653,19.86302423477173,Completed,DAE,50000,minmax,none,42,0.016,sgd,covertype
369,0.8699255748993632,0.998381272178608,0.8034351145038169,0.8320158102766798,0.7767527675276753,19.903413772583008,Completed,DAE,50000,minmax,none,43,0.016,sgd,covertype
370,0.8678729430156885,0.99806522631525,0.8142981691368788,0.771900826446281,0.8616236162361623,19.89053750038147,Completed,DAE,50000,minmax,none,42,0.03200000000000001,sgd,covertype
371,0.857463715981638,0.9983180779278374,0.7954545454545455,0.7558139534883721,0.8394833948339483,19.54697012901306,Completed,DAE,50000,minmax,none,43,0.03200000000000001,sgd,covertype
